[2025-09-21 17:05] Env=LunarLander-v2
Ep, Timestep, Update, Avg_return
1280: 392800, 245, 218.630, 
1282: 393600, 246, 229.250, 
1285: 394400, 246, 226.029, 
1288: 395200, 247, 238.394, 
1290: 396000, 247, 233.361, 
1292: 396800, 248, 213.455, 
1295: 397600, 248, 227.636, 
1298: 398400, 249, 230.119, 
1300: 399200, 249, 232.993, 
1303: 400000, 250, 250.201, 
1306: 400800, 250, 247.866, 
1309: 401600, 251, 253.948, 
1312: 402400, 251, 259.920, 
1314: 403200, 252, 247.415, 
1317: 404000, 252, 234.687, 
1320: 404800, 253, 233.563, 
1323: 405600, 253, 238.449, 
1325: 406400, 254, 246.886, 
1328: 407200, 254, 254.549, 
1332: 408000, 255, 257.247, 
1334: 408800, 255, 261.203, 
1337: 409600, 256, 252.075, 
1340: 410400, 256, 251.524, 
1343: 411200, 257, 245.189, 
1346: 412000, 257, 243.514, 
1348: 412800, 258, 243.079, 
1351: 413600, 258, 241.412, 
1353: 414400, 259, 231.003, 
1356: 415200, 259, 244.098, 
1358: 416000, 260, 232.347, 
1361: 416800, 260, 227.227, 
1364: 417600, 261, 224.903, 
1367: 418400, 261, 202.954, 
1369: 419200, 262, 217.063, 
1372: 420000, 262, 218.649, 
1375: 420800, 263, 225.632, 
1378: 421600, 263, 256.567, 
1381: 422400, 264, 249.412, 
1384: 423200, 264, 257.967, 
1386: 424000, 265, 244.881, 
1389: 424800, 265, 236.709, 
1391: 425600, 266, 225.259, 
1394: 426400, 266, 227.085, 
1397: 427200, 267, 237.950, 
1400: 428000, 267, 232.905, 
1402: 428800, 268, 243.381, 
1405: 429600, 268, 231.141, 
1408: 430400, 269, 245.379, 
1410: 431200, 269, 241.937, 
1412: 432000, 270, 234.534, 
1414: 432800, 270, 220.836, 
1417: 433600, 271, 211.718, 
1420: 434400, 271, 223.307, 
1423: 435200, 272, 241.393, 
1426: 436000, 272, 249.675, 
1428: 436800, 273, 235.597, 
1431: 437600, 273, 216.290, 
1434: 438400, 274, 198.573, 
1437: 439200, 274, 203.979, 
1440: 440000, 275, 232.551, 
1443: 440800, 275, 233.075, 
1446: 441600, 276, 258.470, 
1448: 442400, 276, 247.162, 
1451: 443200, 277, 232.685, 
1454: 444000, 277, 231.205, 
1456: 444800, 278, 207.988, 
1459: 445600, 278, 209.688, 
1462: 446400, 279, 209.436, 
1465: 447200, 279, 209.403, 
1467: 448000, 280, 235.615, 
1470: 448800, 280, 234.236, 
1473: 449600, 281, 240.074, 
1476: 450400, 281, 251.417, 
1479: 451200, 282, 251.515, 
1482: 452000, 282, 265.347, 
1485: 452800, 283, 262.983, 
1488: 453600, 283, 255.035, 
1491: 454400, 284, 261.604, 
1494: 455200, 284, 258.297, 
1496: 456000, 285, 256.971, 
1499: 456800, 285, 241.627, 
1502: 457600, 286, 241.566, 
1504: 458400, 286, 219.761, 
1506: 459200, 287, 187.415, 
1509: 460000, 287, 190.638, 
1511: 460800, 288, 181.229, 
1515: 461600, 288, 233.956, 
1518: 462400, 289, 224.343, 
1521: 463200, 289, 230.458, 
1523: 464000, 290, 230.162, 
1526: 464800, 290, 254.013, 
1528: 465600, 291, 247.584, 
1531: 466400, 291, 239.854, 
1534: 467200, 292, 237.194, 
