[2025-09-21 18:34] Env=Pendulum-v1
Ep, Timestep, Update, Avg_return, Actor_loss, Entropy, Critic_loss
667: 267200, 167, -263.709, 
669: 268000, 167, -266.240, 
671: 268800, 168, -247.782, 
673: 269600, 168, -219.135, 
675: 270400, 169, -243.351, 
677: 271200, 169, -262.771, 
679: 272000, 170, -295.312, 
681: 272800, 170, -374.000, 
683: 273600, 171, -455.686, 
685: 274400, 171, -431.758, 
687: 275200, 172, -398.207, 
689: 276000, 172, -377.129, 
691: 276800, 173, -284.978, 
693: 277600, 173, -217.627, 
695: 278400, 174, -217.395, 
697: 279200, 174, -275.435, 
699: 280000, 175, -263.375, 
701: 280800, 175, -263.219, 
703: 281600, 176, -299.385, 
705: 282400, 176, -322.648, 
707: 283200, 177, -252.122, 
709: 284000, 177, -289.521, 
711: 284800, 178, -338.006, 
713: 285600, 178, -379.338, 
715: 286400, 179, -436.328, 
717: 287200, 179, -526.846, 
719: 288000, 180, -536.631, 
721: 288800, 180, -539.105, 
723: 289600, 181, -435.905, 
725: 290400, 181, -403.944, 
727: 291200, 182, -324.742, 
729: 292000, 182, -292.509, 
731: 292800, 183, -266.540, 
733: 293600, 183, -283.008, 
735: 294400, 184, -221.694, 
737: 295200, 184, -209.478, 
739: 296000, 185, -169.045, 
741: 296800, 185, -144.438, 
743: 297600, 186, -126.903, 
745: 298400, 186, -175.010, 
747: 299200, 187, -211.365, 
749: 300000, 187, -211.522, 

Training time = 0:11:16
